season,team,season_type,sacks_suffered,passing_interceptions
2025,ARI,REG,53,10
2025,ATL,REG,22,7
2025,BAL,REG,42,10
2025,BUF,REG,40,10
2025,CAR,REG,35,11
2025,CHI,REG,23,6
2025,CIN,REG,34,16
2025,CLE,REG,45,18
2025,DAL,REG,31,11
2025,DEN,REG,19,11
2025,DET,REG,36,7
2025,GB,REG,25,7
2025,HOU,REG,31,9
2025,IND,REG,28,13
2025,JAX,REG,39,12
2025,KC,REG,39,12
2025,LA,REG,22,8
2025,LAC,REG,56,13
2025,LV,REG,61,18
2025,MIA,REG,34,17
2025,MIN,REG,58,21
2025,NE,REG,48,8
2025,NO,REG,45,11
2025,NYG,REG,44,10
2025,NYJ,REG,59,13
2025,PHI,REG,32,6
2025,PIT,REG,29,9
2025,SEA,REG,25,15
2025,SF,REG,24,15
2025,TB,REG,36,10
2025,TEN,REG,55,7
2025,WAS,REG,37,11
