season,team,season_type,passing_yards,passing_interceptions
2025,ARI,REG,4083,10
2025,ATL,REG,3523,7
2025,BAL,REG,3040,10
2025,BUF,REG,3722,10
2025,CAR,REG,3304,12
2025,CHI,REG,3779,6
2025,CIN,REG,4008,16
2025,CLE,REG,3041,18
2025,DAL,REG,4592,11
2025,DEN,REG,3790,11
2025,DET,REG,4236,7
2025,GB,REG,3811,7
2025,HOU,REG,3751,9
2025,IND,REG,3799,13
2025,JAX,REG,3755,12
2025,KC,REG,3801,12
2025,LA,REG,4448,8
2025,LAC,REG,3817,13
2025,LV,REG,3210,18
2025,MIA,REG,3185,17
2025,MIN,REG,2969,21
2025,NE,REG,4245,8
2025,NO,REG,3768,11
2025,NYG,REG,3473,10
2025,NYJ,REG,2724,13
2025,PHI,REG,3257,6
2025,PIT,REG,3338,9
2025,SEA,REG,4063,15
2025,SF,REG,4318,16
2025,TB,REG,3755,11
2025,TEN,REG,3117,7
2025,WAS,REG,3198,11
